fkey,sos_detected_date,predicted_sowing_date,sos_detected_dop,predicted_sowing_dop,sow_date_survey,sow_dop_survey,Di_estimated_observed,approach,sensor,smooth
10,2022-11-09,2022-10-30,312,302,2022-11-05,308,-6 days,minimum,HLS,sg
10,2022-11-13,2022-11-03,316,306,2022-11-05,308,-2 days,minimum,HLS,spline
47,2022-12-08,2022-11-28,341,331,2022-12-06,339,-8 days,minimum,HLS,sg
47,2022-12-10,2022-11-30,343,333,2022-12-06,339,-6 days,minimum,HLS,spline
49,2022-11-22,2022-11-12,325,315,2022-11-12,315,0 days,minimum,HLS,sg
49,2022-11-28,2022-11-18,331,321,2022-11-12,315,6 days,minimum,HLS,spline
69,2022-12-27,2022-12-17,360,350,2022-12-20,353,-3 days,minimum,HLS,sg
69,2022-12-13,2022-12-03,346,336,2022-12-20,353,-17 days,minimum,HLS,spline
77,2022-10-28,2022-10-18,300,290,2022-12-06,339,-49 days,minimum,HLS,sg
77,2022-10-02,2022-09-22,274,264,2022-12-06,339,-75 days,minimum,HLS,spline
96,2022-12-19,2022-12-09,352,342,2022-12-14,347,-5 days,minimum,HLS,sg
96,2022-12-17,2022-12-07,350,340,2022-12-14,347,-7 days,minimum,HLS,spline
97,2022-12-19,2022-12-09,352,342,2022-12-18,351,-9 days,minimum,HLS,sg
97,2022-12-11,2022-12-01,344,334,2022-12-18,351,-17 days,minimum,HLS,spline
105,2022-12-22,2022-12-12,355,345,2022-12-18,351,-6 days,minimum,HLS,sg
105,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,HLS,spline
116,2022-12-11,2022-12-01,344,334,2022-12-07,340,-6 days,minimum,HLS,sg
116,2022-11-27,2022-11-17,330,320,2022-12-07,340,-20 days,minimum,HLS,spline
125,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,HLS,sg
125,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,HLS,spline
128,2022-12-09,2022-11-29,342,332,2022-11-29,332,0 days,minimum,HLS,sg
128,2022-12-10,2022-11-30,343,333,2022-11-29,332,1 days,minimum,HLS,spline
130,2022-12-09,2022-11-29,342,332,2022-11-20,323,9 days,minimum,HLS,sg
130,2022-12-05,2022-11-25,338,328,2022-11-20,323,5 days,minimum,HLS,spline
131,2022-12-10,2022-11-30,343,333,2022-12-04,337,-4 days,minimum,HLS,sg
131,2022-12-12,2022-12-02,345,335,2022-12-04,337,-2 days,minimum,HLS,spline
139,2022-12-16,2022-12-06,349,339,2022-12-23,356,-17 days,minimum,HLS,sg
139,2022-12-19,2022-12-09,352,342,2022-12-23,356,-14 days,minimum,HLS,spline
165,2022-12-08,2022-11-28,341,331,2022-11-12,315,16 days,minimum,HLS,sg
165,2022-12-06,2022-11-26,339,329,2022-11-12,315,14 days,minimum,HLS,spline
217,2022-12-28,2022-12-18,361,351,2022-12-20,353,-2 days,minimum,HLS,sg
217,2022-10-02,2022-09-22,274,264,2022-12-20,353,-89 days,minimum,HLS,spline
225,2022-10-24,2022-10-14,296,286,2022-12-06,339,-53 days,minimum,HLS,sg
225,2022-10-02,2022-09-22,274,264,2022-12-06,339,-75 days,minimum,HLS,spline
238,2022-10-02,2022-09-22,274,264,2022-12-17,350,-86 days,minimum,HLS,sg
244,2022-12-20,2022-12-10,353,343,2022-12-14,347,-4 days,minimum,HLS,sg
244,2022-12-19,2022-12-09,352,342,2022-12-14,347,-5 days,minimum,HLS,spline
245,2022-12-20,2022-12-10,353,343,2022-12-18,351,-8 days,minimum,HLS,sg
245,2022-12-09,2022-11-29,342,332,2022-12-18,351,-19 days,minimum,HLS,spline
253,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,HLS,sg
273,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,HLS,sg
273,2022-12-09,2022-11-29,342,332,2022-11-19,322,10 days,minimum,HLS,spline
276,2022-12-09,2022-11-29,342,332,2022-11-29,332,0 days,minimum,HLS,sg
276,2022-12-11,2022-12-01,344,334,2022-11-29,332,2 days,minimum,HLS,spline
278,2022-12-08,2022-11-28,341,331,2022-11-20,323,8 days,minimum,HLS,sg
278,2022-12-07,2022-11-27,340,330,2022-11-20,323,7 days,minimum,HLS,spline
279,2022-12-10,2022-11-30,343,333,2022-12-04,337,-4 days,minimum,HLS,sg
279,2022-12-11,2022-12-01,344,334,2022-12-04,337,-3 days,minimum,HLS,spline
287,2022-12-19,2022-12-09,352,342,2022-12-23,356,-14 days,minimum,HLS,sg
287,2022-12-19,2022-12-09,352,342,2022-12-23,356,-14 days,minimum,HLS,spline
365,2022-12-27,2022-12-17,360,350,2022-12-20,353,-3 days,minimum,HLS,sg
373,2022-10-23,2022-10-13,295,285,2022-12-06,339,-54 days,minimum,HLS,sg
373,2022-10-02,2022-09-22,274,264,2022-12-06,339,-75 days,minimum,HLS,spline
386,2022-10-02,2022-09-22,274,264,2022-12-17,350,-86 days,minimum,HLS,sg
392,2022-12-20,2022-12-10,353,343,2022-12-14,347,-4 days,minimum,HLS,sg
392,2022-12-19,2022-12-09,352,342,2022-12-14,347,-5 days,minimum,HLS,spline
393,2022-12-20,2022-12-10,353,343,2022-12-18,351,-8 days,minimum,HLS,sg
393,2022-12-19,2022-12-09,352,342,2022-12-18,351,-9 days,minimum,HLS,spline
401,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,HLS,sg
401,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,HLS,spline
421,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,HLS,sg
421,2022-12-09,2022-11-29,342,332,2022-11-19,322,10 days,minimum,HLS,spline
424,2022-12-09,2022-11-29,342,332,2022-11-29,332,0 days,minimum,HLS,sg
424,2022-12-10,2022-11-30,343,333,2022-11-29,332,1 days,minimum,HLS,spline
426,2022-12-09,2022-11-29,342,332,2022-11-20,323,9 days,minimum,HLS,sg
426,2022-12-08,2022-11-28,341,331,2022-11-20,323,8 days,minimum,HLS,spline
427,2022-12-11,2022-12-01,344,334,2022-12-04,337,-3 days,minimum,HLS,sg
427,2022-12-11,2022-12-01,344,334,2022-12-04,337,-3 days,minimum,HLS,spline
435,2022-12-20,2022-12-10,353,343,2022-12-23,356,-13 days,minimum,HLS,sg
435,2022-12-21,2022-12-11,354,344,2022-12-23,356,-12 days,minimum,HLS,spline
10,2022-11-09,2022-10-30,312,302,2022-11-05,308,-6 days,minimum,sentinel-2,sg
10,2022-11-13,2022-11-03,316,306,2022-11-05,308,-2 days,minimum,sentinel-2,spline
47,2022-12-09,2022-11-29,342,332,2022-12-06,339,-7 days,minimum,sentinel-2,sg
47,2022-12-09,2022-11-29,342,332,2022-12-06,339,-7 days,minimum,sentinel-2,spline
49,2022-11-16,2022-11-06,319,309,2022-11-12,315,-6 days,minimum,sentinel-2,sg
49,2022-11-20,2022-11-10,323,313,2022-11-12,315,-2 days,minimum,sentinel-2,spline
69,2022-12-25,2022-12-15,358,348,2022-12-20,353,-5 days,minimum,sentinel-2,sg
69,2022-12-27,2022-12-17,360,350,2022-12-20,353,-3 days,minimum,sentinel-2,spline
77,2022-12-23,2022-12-13,356,346,2022-12-06,339,7 days,minimum,sentinel-2,sg
77,2022-12-26,2022-12-16,359,349,2022-12-06,339,10 days,minimum,sentinel-2,spline
96,2022-12-16,2022-12-06,349,339,2022-12-14,347,-8 days,minimum,sentinel-2,sg
96,2022-10-02,2022-09-22,274,264,2022-12-14,347,-83 days,minimum,sentinel-2,spline
97,2022-12-01,2022-11-21,334,324,2022-12-18,351,-27 days,minimum,sentinel-2,sg
97,2022-12-01,2022-11-21,334,324,2022-12-18,351,-27 days,minimum,sentinel-2,spline
105,2022-12-15,2022-12-05,348,338,2022-12-18,351,-13 days,minimum,sentinel-2,sg
105,2022-12-15,2022-12-05,348,338,2022-12-18,351,-13 days,minimum,sentinel-2,spline
116,2022-12-07,2022-11-27,340,330,2022-12-07,340,-10 days,minimum,sentinel-2,sg
116,2022-12-07,2022-11-27,340,330,2022-12-07,340,-10 days,minimum,sentinel-2,spline
125,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,sentinel-2,sg
125,2022-12-08,2022-11-28,341,331,2022-11-19,322,9 days,minimum,sentinel-2,spline
128,2022-12-08,2022-11-28,341,331,2022-11-29,332,-1 days,minimum,sentinel-2,sg
128,2022-12-09,2022-11-29,342,332,2022-11-29,332,0 days,minimum,sentinel-2,spline
130,2022-12-04,2022-11-24,337,327,2022-11-20,323,4 days,minimum,sentinel-2,sg
130,2022-12-07,2022-11-27,340,330,2022-11-20,323,7 days,minimum,sentinel-2,spline
131,2022-12-14,2022-12-04,347,337,2022-12-04,337,0 days,minimum,sentinel-2,sg
131,2022-12-14,2022-12-04,347,337,2022-12-04,337,0 days,minimum,sentinel-2,spline
139,2022-12-17,2022-12-07,350,340,2022-12-23,356,-16 days,minimum,sentinel-2,sg
139,2022-12-17,2022-12-07,350,340,2022-12-23,356,-16 days,minimum,sentinel-2,spline
165,2022-11-29,2022-11-19,332,322,2022-11-12,315,7 days,minimum,sentinel-2,sg
165,2022-12-03,2022-11-23,336,326,2022-11-12,315,11 days,minimum,sentinel-2,spline
217,2022-11-02,2022-10-23,305,295,2022-12-20,353,-58 days,minimum,sentinel-2,sg
217,2022-10-02,2022-09-22,274,264,2022-12-20,353,-89 days,minimum,sentinel-2,spline
225,2022-12-27,2022-12-17,360,350,2022-12-06,339,11 days,minimum,sentinel-2,sg
225,2022-12-27,2022-12-17,360,350,2022-12-06,339,11 days,minimum,sentinel-2,spline
238,2023-01-04,2022-12-25,368,358,2022-12-17,350,8 days,minimum,sentinel-2,sg
238,2023-01-05,2022-12-26,369,359,2022-12-17,350,9 days,minimum,sentinel-2,spline
244,2022-12-13,2022-12-03,346,336,2022-12-14,347,-11 days,minimum,sentinel-2,sg
244,2022-12-12,2022-12-02,345,335,2022-12-14,347,-12 days,minimum,sentinel-2,spline
245,2022-12-02,2022-11-22,335,325,2022-12-18,351,-26 days,minimum,sentinel-2,sg
245,2022-11-30,2022-11-20,333,323,2022-12-18,351,-28 days,minimum,sentinel-2,spline
253,2022-12-25,2022-12-15,358,348,2022-12-18,351,-3 days,minimum,sentinel-2,sg
253,2022-12-25,2022-12-15,358,348,2022-12-18,351,-3 days,minimum,sentinel-2,spline
273,2022-12-14,2022-12-04,347,337,2022-11-19,322,15 days,minimum,sentinel-2,sg
273,2022-12-10,2022-11-30,343,333,2022-11-19,322,11 days,minimum,sentinel-2,spline
276,2022-12-08,2022-11-28,341,331,2022-11-29,332,-1 days,minimum,sentinel-2,sg
276,2022-12-04,2022-11-24,337,327,2022-11-29,332,-5 days,minimum,sentinel-2,spline
278,2022-12-05,2022-11-25,338,328,2022-11-20,323,5 days,minimum,sentinel-2,sg
278,2022-12-08,2022-11-28,341,331,2022-11-20,323,8 days,minimum,sentinel-2,spline
279,2022-12-14,2022-12-04,347,337,2022-12-04,337,0 days,minimum,sentinel-2,sg
279,2022-12-09,2022-11-29,342,332,2022-12-04,337,-5 days,minimum,sentinel-2,spline
287,2022-12-19,2022-12-09,352,342,2022-12-23,356,-14 days,minimum,sentinel-2,sg
287,2022-12-20,2022-12-10,353,343,2022-12-23,356,-13 days,minimum,sentinel-2,spline
365,2022-11-02,2022-10-23,305,295,2022-12-20,353,-58 days,minimum,sentinel-2,sg
365,2022-10-02,2022-09-22,274,264,2022-12-20,353,-89 days,minimum,sentinel-2,spline
373,2022-12-20,2022-12-10,353,343,2022-12-06,339,4 days,minimum,sentinel-2,sg
373,2022-12-23,2022-12-13,356,346,2022-12-06,339,7 days,minimum,sentinel-2,spline
386,2023-01-04,2022-12-25,368,358,2022-12-17,350,8 days,minimum,sentinel-2,sg
386,2023-01-06,2022-12-27,370,360,2022-12-17,350,10 days,minimum,sentinel-2,spline
392,2022-12-15,2022-12-05,348,338,2022-12-14,347,-9 days,minimum,sentinel-2,sg
392,2022-12-23,2022-12-13,356,346,2022-12-14,347,-1 days,minimum,sentinel-2,spline
393,2022-12-01,2022-11-21,334,324,2022-12-18,351,-27 days,minimum,sentinel-2,sg
393,2022-11-29,2022-11-19,332,322,2022-12-18,351,-29 days,minimum,sentinel-2,spline
401,2022-12-20,2022-12-10,353,343,2022-12-18,351,-8 days,minimum,sentinel-2,sg
401,2022-12-21,2022-12-11,354,344,2022-12-18,351,-7 days,minimum,sentinel-2,spline
421,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,sentinel-2,sg
421,2022-12-09,2022-11-29,342,332,2022-11-19,322,10 days,minimum,sentinel-2,spline
424,2022-12-13,2022-12-03,346,336,2022-11-29,332,4 days,minimum,sentinel-2,sg
424,2022-12-10,2022-11-30,343,333,2022-11-29,332,1 days,minimum,sentinel-2,spline
426,2022-12-12,2022-12-02,345,335,2022-11-20,323,12 days,minimum,sentinel-2,sg
426,2022-12-10,2022-11-30,343,333,2022-11-20,323,10 days,minimum,sentinel-2,spline
427,2022-12-14,2022-12-04,347,337,2022-12-04,337,0 days,minimum,sentinel-2,sg
427,2022-12-14,2022-12-04,347,337,2022-12-04,337,0 days,minimum,sentinel-2,spline
435,2022-12-26,2022-12-16,359,349,2022-12-23,356,-7 days,minimum,sentinel-2,sg
435,2022-12-26,2022-12-16,359,349,2022-12-23,356,-7 days,minimum,sentinel-2,spline
10,2022-11-18,2022-11-08,321,311,2022-11-05,308,3 days,minimum,MODIS,sg
10,2022-11-18,2022-11-08,321,311,2022-11-05,308,3 days,minimum,MODIS,spline
47,2022-12-20,2022-12-10,353,343,2022-12-06,339,4 days,minimum,MODIS,sg
47,2022-12-18,2022-12-08,351,341,2022-12-06,339,2 days,minimum,MODIS,spline
49,2022-12-12,2022-12-02,345,335,2022-11-12,315,20 days,minimum,MODIS,sg
49,2022-12-01,2022-11-21,334,324,2022-11-12,315,9 days,minimum,MODIS,spline
69,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,sg
69,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,spline
77,2022-10-19,2022-10-09,291,281,2022-12-06,339,-58 days,minimum,MODIS,sg
77,2022-10-30,2022-10-20,302,292,2022-12-06,339,-47 days,minimum,MODIS,spline
96,2022-12-12,2022-12-02,345,335,2022-12-14,347,-12 days,minimum,MODIS,sg
96,2022-12-11,2022-12-01,344,334,2022-12-14,347,-13 days,minimum,MODIS,spline
97,2022-12-06,2022-11-26,339,329,2022-12-18,351,-22 days,minimum,MODIS,sg
97,2022-12-08,2022-11-28,341,331,2022-12-18,351,-20 days,minimum,MODIS,spline
116,2022-12-24,2022-12-14,357,347,2022-12-07,340,7 days,minimum,MODIS,sg
116,2022-12-20,2022-12-10,353,343,2022-12-07,340,3 days,minimum,MODIS,spline
125,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,MODIS,sg
125,2022-12-01,2022-11-21,334,324,2022-11-19,322,2 days,minimum,MODIS,spline
128,2022-12-06,2022-11-26,339,329,2022-11-29,332,-3 days,minimum,MODIS,sg
128,2022-12-08,2022-11-28,341,331,2022-11-29,332,-1 days,minimum,MODIS,spline
130,2022-12-14,2022-12-04,347,337,2022-11-20,323,14 days,minimum,MODIS,sg
130,2022-12-10,2022-11-30,343,333,2022-11-20,323,10 days,minimum,MODIS,spline
131,2022-12-13,2022-12-03,346,336,2022-12-04,337,-1 days,minimum,MODIS,sg
131,2022-12-01,2022-11-21,334,324,2022-12-04,337,-13 days,minimum,MODIS,spline
139,2023-01-01,2022-12-22,365,355,2022-12-23,356,-1 days,minimum,MODIS,sg
139,2023-01-02,2022-12-23,366,356,2022-12-23,356,0 days,minimum,MODIS,spline
165,2022-10-30,2022-10-20,302,292,2022-11-12,315,-23 days,minimum,MODIS,sg
165,2022-11-04,2022-10-25,307,297,2022-11-12,315,-18 days,minimum,MODIS,spline
217,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,sg
217,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,spline
225,2022-10-19,2022-10-09,291,281,2022-12-06,339,-58 days,minimum,MODIS,sg
225,2022-10-30,2022-10-20,302,292,2022-12-06,339,-47 days,minimum,MODIS,spline
244,2022-12-12,2022-12-02,345,335,2022-12-14,347,-12 days,minimum,MODIS,sg
244,2022-12-11,2022-12-01,344,334,2022-12-14,347,-13 days,minimum,MODIS,spline
245,2022-12-06,2022-11-26,339,329,2022-12-18,351,-22 days,minimum,MODIS,sg
245,2022-12-08,2022-11-28,341,331,2022-12-18,351,-20 days,minimum,MODIS,spline
273,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,MODIS,sg
273,2022-12-18,2022-12-08,351,341,2022-11-19,322,19 days,minimum,MODIS,spline
276,2022-12-06,2022-11-26,339,329,2022-11-29,332,-3 days,minimum,MODIS,sg
276,2022-12-08,2022-11-28,341,331,2022-11-29,332,-1 days,minimum,MODIS,spline
278,2022-12-14,2022-12-04,347,337,2022-11-20,323,14 days,minimum,MODIS,sg
278,2022-12-10,2022-11-30,343,333,2022-11-20,323,10 days,minimum,MODIS,spline
279,2022-12-13,2022-12-03,346,336,2022-12-04,337,-1 days,minimum,MODIS,sg
279,2022-12-01,2022-11-21,334,324,2022-12-04,337,-13 days,minimum,MODIS,spline
287,2023-01-01,2022-12-22,365,355,2022-12-23,356,-1 days,minimum,MODIS,sg
287,2023-01-02,2022-12-23,366,356,2022-12-23,356,0 days,minimum,MODIS,spline
365,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,sg
365,2022-12-11,2022-12-01,344,334,2022-12-20,353,-19 days,minimum,MODIS,spline
373,2022-10-19,2022-10-09,291,281,2022-12-06,339,-58 days,minimum,MODIS,sg
373,2022-10-30,2022-10-20,302,292,2022-12-06,339,-47 days,minimum,MODIS,spline
386,2022-12-25,2022-12-15,358,348,2022-12-17,350,-2 days,minimum,MODIS,sg
386,2022-12-22,2022-12-12,355,345,2022-12-17,350,-5 days,minimum,MODIS,spline
392,2022-12-12,2022-12-02,345,335,2022-12-14,347,-12 days,minimum,MODIS,sg
392,2022-12-11,2022-12-01,344,334,2022-12-14,347,-13 days,minimum,MODIS,spline
393,2022-12-06,2022-11-26,339,329,2022-12-18,351,-22 days,minimum,MODIS,sg
393,2022-12-04,2022-11-24,337,327,2022-12-18,351,-24 days,minimum,MODIS,spline
421,2022-12-13,2022-12-03,346,336,2022-11-19,322,14 days,minimum,MODIS,sg
421,2022-12-18,2022-12-08,351,341,2022-11-19,322,19 days,minimum,MODIS,spline
424,2022-12-06,2022-11-26,339,329,2022-11-29,332,-3 days,minimum,MODIS,sg
424,2022-12-08,2022-11-28,341,331,2022-11-29,332,-1 days,minimum,MODIS,spline
426,2022-12-14,2022-12-04,347,337,2022-11-20,323,14 days,minimum,MODIS,sg
426,2022-12-19,2022-12-09,352,342,2022-11-20,323,19 days,minimum,MODIS,spline
427,2022-12-13,2022-12-03,346,336,2022-12-04,337,-1 days,minimum,MODIS,sg
427,2022-12-01,2022-11-21,334,324,2022-12-04,337,-13 days,minimum,MODIS,spline
435,2023-01-01,2022-12-22,365,355,2022-12-23,356,-1 days,minimum,MODIS,sg
435,2023-01-02,2022-12-23,366,356,2022-12-23,356,0 days,minimum,MODIS,spline
